"Answer.time_in_minutes","object","utterance","slide_number_in_experiment","workerid","rt","response","speaker_cond"
0.759766666666667,"Margaret","bot_check",1,0,0,"Margaret","list1"
0.759766666666667,"bag_canvas","bag",3,0,2203,"bag","list1"
0.759766666666667,"vase_glass","vase",4,0,1454,"vase","list1"
0.759766666666667,"chair_metal","chair",5,0,1510,"chair","list1"
0.759766666666667,"pitcher_porcelain","pitcher",6,0,2025,"pitcher","list1"
0.759766666666667,"plate_metal","plate",7,0,1645,"plate","list1"
0.759766666666667,"bowl_wood","bowl",8,0,1448,"bowl","list1"
0.759766666666667,"ruler_wood","ruler",9,0,1531,"ruler","list1"
0.759766666666667,"table_wood","table",10,0,1925,"table","list1"
0.759766666666667,"pot_ceramic","pot",11,0,1841,"pot","list1"
0.759766666666667,"cup_ceramic","cup",12,0,1624,"mug","list1"
0.759766666666667,"ball_metal","ball",13,0,1768,"ball","list1"
0.759766666666667,"box_cardboard","box",14,0,1818,"box","list1"
0.759766666666667,"door_steel","door",15,0,2720,"door","list1"
0.759766666666667,"bottle_glass","bottle",16,0,3843,"bottle","list1"
0.759766666666667,"jacket_denim","jacket",17,0,2154,"jacket","list1"
0.759766666666667,"boots_rubber","boots",18,0,1951,"boots","list1"
0.759766666666667,"spoon_plastic","spoon",19,0,1701,"spoon","list1"
1.5981,"Margaret","bot_check",1,1,0,"Margaret","list1"
1.5981,"vase_glass","vase",3,1,3549,"vase","list1"
1.5981,"door_steel","door",4,1,4647,"door","list1"
1.5981,"table_wood","table",5,1,2492,"table","list1"
1.5981,"bowl_wood","bowl",6,1,2676,"bowl","list1"
1.5981,"plate_metal","plate",7,1,4910,"plate","list1"
1.5981,"box_cardboard","box",8,1,4258,"box","list1"
1.5981,"bottle_glass","bottle",9,1,11966,"bottle","list1"
1.5981,"chair_metal","chair",10,1,2797,"chair","list1"
1.5981,"jacket_denim","jacket",11,1,3244,"jacket","list1"
1.5981,"spoon_plastic","spoon",12,1,2840,"spoon","list1"
1.5981,"ball_metal","ball",13,1,2698,"ball","list1"
1.5981,"pot_ceramic","pot",14,1,4647,"planter","list1"
1.5981,"cup_ceramic","cup",15,1,2807,"mug","list1"
1.5981,"boots_rubber","boots",16,1,3202,"boot","list1"
1.5981,"pitcher_porcelain","pitcher",17,1,5089,"pitcher","list1"
1.5981,"ruler_wood","ruler",18,1,2325,"ruler","list1"
1.5981,"bag_canvas","bag",19,1,3377,"tote","list1"
1.74475,"Jennifer","bot_check",1,2,0,"Jennifer","list1"
1.74475,"pitcher_porcelain","pitcher",3,2,7262,"Pitcher","list1"
1.74475,"vase_glass","vase",4,2,6847,"Vase","list1"
1.74475,"box_cardboard","box",5,2,4645,"Box","list1"
1.74475,"bag_canvas","bag",6,2,3318,"bag","list1"
1.74475,"plate_metal","plate",7,2,4646,"Plate","list1"
1.74475,"ball_metal","ball",8,2,4192,"Ball","list1"
1.74475,"jacket_denim","jacket",9,2,4613,"jacket","list1"
1.74475,"bowl_wood","bowl",10,2,3968,"bowl","list1"
1.74475,"boots_rubber","boots",11,2,3210,"Boot","list1"
