workerid,proliferate.condition,time_in_minutes,error
1704,list3,3.3895666666666666,
1710,list3,2.9548666666666668,
1706,list3,2.554333333333333,
1715,list3,4.297616666666666,
1714,list3,2.0907666666666667,
1707,list3,4.186933333333333,
1713,list3,3.4368333333333334,
1716,list3,2.658316666666667,
1712,list3,2.6346333333333334,
1711,list3,2.4914666666666667,
1709,list3,2.0438666666666667,
1708,list3,2.195666666666667,
1705,list3,2.3469333333333333,
