gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
2741-8,1589431513396,1,boot,green,leather,boot_leather_green,target,1,2,boot_rubber_black_original,distractor,3,3,boot_rubber_black_original,distractor,2,4,boot_leather_black_original,distractor,4
2741-8,1589431517929,2,table,green,metal,table_metal_green,distractor,2,1,table_wood_green,distractor,3,4,table_wood_green,distractor,4,2,table_metal_blue,target,1
