gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
0688-1,1589427444880,1,spoon,green,wood,spoon_wood_green,target,3,4,spoon_wood_blue,distractor,1,2,spoon_plastic_blue,distractor,2,3,spoon_plastic_blue,distractor,4
0688-1,1589427452594,2,table,green,metal,table_metal_green,distractor,2,2,table_wood_green,distractor,3,4,table_metal_blue,target,4,1,table_wood_green,distractor,1
