gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
7401-9,1590786435040,1,clickedObj,clickedObj,door_wood_brown_original,target,2,2,door_steel_yellow,distractor,3,1,box_cardboard_brown_original,distractor,1,4,door_steel_yellow,distractor,4,3
7401-9,1590786442454,2,clickedObj,clickedObj,chair_metal_purple,target,1,3,chair_plastic_green,distractor,3,1,chair_plastic_green,distractor,4,4,chair_metal_green,distractor,2,2
7401-9,1590786449224,3,clickedObj,clickedObj,door_steel_red,target,2,4,ball_plastic_red,distractor,4,1,ball_plastic_red,distractor,3,2,ruler_metal_blue,distractor,1,3
7401-9,1590786456744,4,clickedObj,clickedObj,boot_leather_green,target,2,3,boot_leather_black_original,distractor,1,1,boot_rubber_black_original,distractor,3,2,boot_rubber_black_original,distractor,4,4
7401-9,1590786574755,5,clickedObj,clickedObj,ball_metal_silver_original,target,2,2,ball_plastic_red,distractor,4,4,ruler_metal_silver_original,distractor,1,3,ball_plastic_red,distractor,3,1
7401-9,1590786585080,6,clickedObj,clickedObj,bottle_plastic_green,target,4,1,bottle_glass_clear_original,distractor,1,3,bottle_glass_green,distractor,2,4,bottle_glass_clear_original,distractor,3,2
7401-9,1590786592961,7,clickedObj,clickedObj,bowl_glass_blue,target,2,4,vase_glass_blue,distractor,4,3,ball_plastic_green,distractor,1,2,ball_plastic_green,distractor,3,1
7401-9,1590786639178,8,clickedObj,clickedObj,ruler_metal_green,target,2,3,bowl_metal_green,distractor,1,2,bag_paper_brown_original,distractor,3,4,bag_paper_brown_original,distractor,4,1
7401-9,1590786651014,9,clickedObj,clickedObj,plate_paper_blue,target,2,3,plate_plastic_pink,distractor,4,2,plate_plastic_pink,distractor,3,4,plate_plastic_blue_original,distractor,1,1
7401-9,1590786658781,10,clickedObj,clickedObj,jacket_denim_purple,target,3,1,jacket_leather_green,distractor,2,4,jacket_leather_purple,distractor,4,3,jacket_leather_green,distractor,1,2
7401-9,1590786670141,11,clickedObj,clickedObj,bowl_glass_green,target,4,3,vase_glass_clear_original,distractor,3,1,ball_plastic_green,distractor,1,4,ball_plastic_green,distractor,2,2
7401-9,1590786676631,12,clickedObj,clickedObj,plate_plastic_blue_original,target,1,3,plate_paper_blue,distractor,3,2,plate_paper_green,distractor,2,1,plate_paper_green,distractor,4,4
7401-9,1590786683865,13,clickedObj,clickedObj,table_metal_green,target,3,4,table_wood_blue,distractor,1,1,table_wood_blue,distractor,4,3,table_metal_blue,distractor,2,2
7401-9,1590786696735,14,clickedObj,clickedObj,bottle_glass_green,target,4,4,bottle_plastic_green,distractor,3,2,bottle_plastic_clear_original,distractor,2,1,bottle_plastic_clear_original,distractor,1,3
7401-9,1590786724678,15,clickedObj,clickedObj,ball_plastic_blue_original,target,3,3,vase_glass_clear_original,distractor,4,2,vase_glass_clear_original,distractor,1,4,ruler_wood_green,distractor,2,1
7401-9,1590786731044,16,clickedObj,clickedObj,vase_wood_brown_original,target,1,3,door_wood_red,distractor,4,4,bowl_glass_clear_original,distractor,2,2,bowl_glass_clear_original,distractor,3,1
7401-9,1590786738426,17,clickedObj,clickedObj,ruler_metal_blue,distractor,4,3,box_cardboard_brown_original,distractor,1,1,box_cardboard_brown_original,distractor,3,2,box_wood_blue,target,2,4
7401-9,1590786747252,18,clickedObj,clickedObj,table_metal_blue,target,1,2,table_wood_brown_original,distractor,4,1,table_wood_blue,distractor,3,4,table_wood_brown_original,distractor,2,3
7401-9,1590786752831,19,clickedObj,clickedObj,bag_plastic_green,target,3,1,ruler_wood_green,distractor,2,3,vase_glass_blue,distractor,4,2,vase_glass_blue,distractor,1,4
7401-9,1590786769420,20,clickedObj,clickedObj,ruler_wood_blue,target,1,4,ruler_metal_blue,distractor,3,2,ruler_metal_blue,distractor,2,1,door_wood_yellow,distractor,4,3
7401-9,1590786817316,21,clickedObj,clickedObj,cup_plastic_green,target,1,4,cup_metal_blue,distractor,3,1,cup_metal_blue,distractor,2,3,cup_metal_green,distractor,4,2
7401-9,1590786823754,22,clickedObj,clickedObj,pitcher_metal_blue,target,1,1,pitcher_glass_green,distractor,2,2,pitcher_glass_blue,distractor,3,4,pitcher_glass_green,distractor,4,3
7401-9,1590786827805,23,clickedObj,clickedObj,bag_plastic_blue,target,3,2,bowl_metal_silver_original,distractor,1,4,box_cardboard_blue,distractor,2,3,bowl_metal_silver_original,distractor,4,1
7401-9,1590786832218,24,clickedObj,clickedObj,vase_wood_blue,target,1,1,door_wood_yellow,distractor,3,2,box_cardboard_blue,distractor,2,3,box_cardboard_blue,distractor,4,4
7401-9,1590786837811,25,clickedObj,clickedObj,bowl_metal_blue,target,4,3,ruler_metal_blue,distractor,1,4,bowl_glass_clear_original,distractor,2,2,bowl_glass_clear_original,distractor,3,1
7401-9,1590786843738,26,clickedObj,clickedObj,chair_metal_green,target,1,2,chair_metal_purple,distractor,3,4,chair_wood_purple,distractor,4,1,chair_wood_purple,distractor,2,3
7401-9,1590786852098,27,clickedObj,clickedObj,table_metal_blue,target,4,2,table_wood_green,distractor,1,1,table_wood_green,distractor,2,4,table_metal_green,distractor,3,3
7401-9,1590786857758,28,clickedObj,clickedObj,ball_metal_green,target,4,2,bowl_metal_silver_original,distractor,1,1,vase_glass_blue,distractor,3,3,bowl_metal_silver_original,distractor,2,4
7401-9,1590786862168,29,clickedObj,clickedObj,plate_paper_blue,target,1,4,plate_plastic_green,distractor,3,3,plate_plastic_green,distractor,4,1,plate_paper_green,distractor,2,2
7401-9,1590786874234,30,clickedObj,clickedObj,spoon_wood_green,target,2,2,spoon_wood_blue,distractor,4,3,spoon_plastic_blue,distractor,1,1,spoon_plastic_blue,distractor,3,4
7401-9,1590786879424,31,clickedObj,clickedObj,table_metal_silver_original,target,2,2,table_metal_green,distractor,1,4,table_wood_green,distractor,3,3,table_wood_green,distractor,4,1
7401-9,1590786884045,32,clickedObj,clickedObj,box_cardboard_green,target,3,4,bag_paper_brown_original,distractor,1,3,door_wood_red,distractor,4,1,bag_paper_brown_original,distractor,2,2
