gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7722-f,1592935531143,1,clickedObj,,boot_leather_green,high_difficulty,target,4,4,boot_leather_brown,difficulty_distractor,distractor,2,3,boot_rubber_brown,difficulty_distractor,distractor,1,2,boot_rubber_brown,difficulty_distractor,distractor,3,1
7722-f,1592935539917,2,clickedObj,,plate_plastic_pink,difficulty_distractor,distractor,1,3,plate_paper_blue,low_difficulty,target,3,2,plate_plastic_blue_original,difficulty_distractor,distractor,4,4,plate_plastic_pink,difficulty_distractor,distractor,2,1
7722-f,1592935548642,3,clickedObj,,ruler_metal_silver_original,filler,competitor,3,4,bag_paper_green,filler,distractor,2,3,bag_paper_green,filler,distractor,1,1,ball_metal_silver_original,filler_both,target,4,2
7722-f,1592935702687,4,clickedObj,,bottle_plastic_blue,difficulty_distractor,distractor,4,3,bottle_plastic_green,difficulty_distractor,distractor,3,4,bottle_plastic_blue,difficulty_distractor,distractor,1,2,bottle_glass_green,low_difficulty,target,2,1
