gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocsalt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs
5339-5,1589491221079,1,chair,green,metal,chair_metal_green,target,1,1,chair_metal_purple,distractor,3,4,chair_plastic_purple,distractor,2,3,chair_plastic_purple,distractor,4
5339-5,1589491226612,2,table,blue,metal,table_metal_blue,target,4,3,table_wood_green,distractor,3,1,table_wood_green,distractor,1,4,table_metal_green,distractor,2
5339-5,1589491233365,3,plate,blue,paper,plate_paper_blue,target,1,4,plate_plastic_green,distractor,4,3,plate_paper_green,distractor,2,1,plate_plastic_green,distractor,3
5339-5,1589491243240,4,bottle,green,glass,bottle_glass_green,target,3,4,bottle_plastic_blue,distractor,1,2,bottle_plastic_green,distractor,2,3,bottle_plastic_blue,distractor,4
5339-5,1589491250719,5,table,silver,metal,table_metal_silver_original,target,2,2,table_wood_green,distractor,4,4,table_wood_green,distractor,3,3,table_metal_green,distractor,1
5339-5,1589491256694,6,table,green,metal,table_metal_green,target,2,2,table_wood_blue,distractor,4,1,table_wood_blue,distractor,1,3,table_metal_blue,distractor,3
5339-5,1589491262533,7,chair,purple,metal,chair_metal_purple,target,3,3,chair_plastic_green,distractor,4,2,chair_metal_green,distractor,1,1,chair_plastic_green,distractor,2
5339-5,1589491269244,8,boot,green,leather,boot_leather_green,target,4,3,boot_leather_black_original,distractor,3,1,boot_rubber_black_original,distractor,2,4,boot_rubber_black_original,distractor,1
5339-5,1589491278225,9,plate,blue,plastic,plate_plastic_blue_original,target,4,4,plate_paper_blue,distractor,2,3,plate_paper_green,distractor,1,2,plate_paper_green,distractor,3
5339-5,1589491285745,10,cup,green,plastic,cup_plastic_green,target,3,3,cup_metal_silver_original,distractor,4,2,cup_metal_green,distractor,1,1,cup_metal_silver_original,distractor,2
5339-5,1589491294033,11,jacket,purple,denim,jacket_denim_purple,target,1,2,jacket_leather_green,distractor,2,1,jacket_leather_green,distractor,4,3,jacket_leather_purple,distractor,3
5339-5,1589491302261,12,table,blue,metal,table_metal_blue,target,1,4,table_wood_green,distractor,4,3,table_wood_green,distractor,3,2,table_wood_blue,distractor,2
5339-5,1589491310815,13,pitcher,blue,metal,pitcher_metal_blue,target,1,3,pitcher_glass_clear_original,distractor,4,4,pitcher_glass_blue,distractor,2,2,pitcher_glass_clear_original,distractor,3
5339-5,1589491319995,14,spoon,green,wood,spoon_wood_green,target,1,1,spoon_plastic_blue,distractor,4,4,spoon_plastic_blue,distractor,3,2,spoon_wood_blue,distractor,2
