"age","language","education","enjoyment","gender","workerid","asses","comments","speaker_cond"
50,"english",2,1,"Female",0,"Yes","","typ1"
36,"English",3,2,"Female",1,"Yes","Fun task-thanks so much :)","typ1"
19,"English",2,2,"Male",2,"Yes","Dope ass experiment. Hit me up if you need any extra help!","typ1"
28,"English",3,2,"Male",3,"Yes",NA,"typ2"
54,"English",2,2,"Male",4,"Yes",NA,"typ2"
45,"English",2,2,"Female",5,"Yes",NA,"typ2"
