gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
7475-f	1592422018484	1	clickedObj		plate_plastic_blue_original	low_difficulty	target	3	2	plate_paper_blue	difficulty_distractor	distractor	1	3	plate_paper_green	difficulty_distractor	distractor	4	1	plate_paper_green	difficulty_distractor	distractor	2	4	6	3	3	blue plate___yes :)___like dark blue	elisa?___OMG___YES	1592422008043___1592422009534___1592422014154___1592422016830___1592422017722___1592422019097
7475-f	1592422029420	2	clickedObj		bowl_metal_blue	filler_both	target	4	1	box_cardboard_brown_original	filler	distractor	1	4	ruler_metal_blue	filler	competitor	3	3	box_cardboard_brown_original	filler	distractor	2	2	4	1	3	light blue bowl	we don't have to play ___hehe___thank you so much!!!!!!!!	1592422023661___1592422024273___1592422026872___1592422028524
7475-f	1592422042709	3	clickedObj		box_cardboard_green	filler_none	target	3	4	bowl_glass_clear_original	filler	distractor	2	3	ball_plastic_red	filler	competitor	1	1	bowl_glass_clear_original	filler	distractor	4	2	4	3	1	I wanna play___:D___light green box	oki yes would love feedback:)	1592422032197___1592422033456___1592422038812___1592422042015
7475-f	1592422049695	4	clickedObj		vase_wood_brown_original	filler_material	target	1	2	door_wood_red	filler	competitor	2	3	bowl_metal_green	filler	distractor	3	4	bowl_metal_green	filler	distractor	4	1	1	1	0	vase		1592422048134
7475-f	1592422056865	5	clickedObj		ruler_wood_blue	filler_material	target	2	4	bag_paper_brown_original	filler	distractor	1	2	box_wood_green	filler	competitor	4	1	bag_paper_brown_original	filler	distractor	3	3	1	1	0	ruler		1592422055391
7475-f	1592422099397	6	clickedObj		bowl_glass_green	filler_material	target	2	1	ball_plastic_red	filler	distractor	3	2	ball_plastic_red	filler	distractor	4	3	vase_glass_blue	filler	competitor	1	4	2	1	1	bowl -- is it on purpose that there are two objects of the same color and type?	yes - there always two that are exactly the same	1592422079595___1592422098751
7475-f	1592422127635	7	clickedObj		chair_metal_purple	high_difficulty	target	1	2	chair_wood_green	difficulty_distractor	distractor	4	4	chair_metal_green	difficulty_distractor	distractor	2	1	chair_wood_green	difficulty_distractor	distractor	3	3	3	2	1	purple chair___interesting.	the non competitive distractors to create controlled scene variation	1592422113503___1592422122945___1592422125653
7475-f	1592422162470	8	clickedObj		plate_paper_blue	high_difficulty	target	4	4	plate_paper_green	difficulty_distractor	distractor	1	1	plate_plastic_green	difficulty_distractor	distractor	2	2	plate_plastic_green	difficulty_distractor	distractor	3	3	2	2	0	Might be a little weird since I can't uniquely refer to them and therefore they can never be the target.~~~~~~___blue plate		1592422153046___1592422157412
7475-f	1592422196926	9	clickedObj		table_metal_blue	high_difficulty	target	3	4	table_wood_green	difficulty_distractor	distractor	4	1	table_wood_green	difficulty_distractor	distractor	2	3	table_metal_green	difficulty_distractor	distractor	1	2	1	1	0	blue table		1592422179039
7475-f	1592422206821	10	clickedObj		table_metal_blue	difficulty_distractor	distractor	4	3	table_wood_blue	difficulty_distractor	distractor	1	4	table_wood_blue	difficulty_distractor	distractor	2	1	table_metal_silver_original	high_difficulty	target	3	2	1	1	0	metal table		1592422204892
