"rt","object","workerid","Answer.time_in_minutes","slide_number_in_experiment","utterance","response","speaker_cond"
0,"Jessica",0,3.23496666666667,1,"bot_check","Jessica","list1"
13139,"bottle_plastic_green",0,3.23496666666667,3,"bottle","['plastic', 'green']","list1"
10540,"ball_plastic_blue",0,3.23496666666667,4,"ball","['rubber', 'blue']","list1"
17359,"chair_metal_purple",0,3.23496666666667,5,"chair","['metal', 'purple']","list1"
10417,"spoon_plastic_original",0,3.23496666666667,6,"spoon","['plastic', 'white']","list1"
13602,"pitcher_plastic_blue",0,3.23496666666667,7,"pitcher","['plastic', 'blue']","list1"
10654,"boot_rubber_blue",0,3.23496666666667,8,"boot","['rubber', 'blue']","list1"
11520,"table_metal_green",0,3.23496666666667,9,"table","['metal', 'green']","list1"
21915,"spoon_metal_blue",0,3.23496666666667,10,"spoon","['stainless steel', 'silver']","list1"
12071,"pitcher_glass_green",0,3.23496666666667,11,"pitcher","['glass', 'green']","list1"
8426,"bowl_glass_green",0,3.23496666666667,12,"bowl","['glass', 'green']","list1"
13951,"cup_metal_blue",0,3.23496666666667,13,"cup","['steel', 'blue']","list1"
9900,"ball_rubber_original",0,3.23496666666667,14,"ball","['rubber', 'purple']","list1"
0,"Linda",1,3.42271666666667,1,"bot_check","Linda","list1"
13371,"chair_metal_purple",1,3.42271666666667,3,"chair","['chair', 'purple']","list1"
11719,"boot_rubber_blue",1,3.42271666666667,4,"boot","['shoe', 'blue']","list1"
23607,"bowl_glass_green",1,3.42271666666667,5,"bowl","['bowl', 'green']","list1"
13192,"pitcher_glass_green",1,3.42271666666667,6,"pitcher","['jar', 'green']","list1"
7280,"ball_rubber_original",1,3.42271666666667,7,"ball","['ball', 'purple']","list1"
7350,"ball_plastic_blue",1,3.42271666666667,8,"ball","['ball', 'blue']","list1"
13409,"spoon_plastic_original",1,3.42271666666667,9,"spoon","['spoon', 'white']","list1"
16454,"bottle_plastic_green",1,3.42271666666667,10,"bottle","['bottle', 'green']","list1"
36977,"pitcher_plastic_blue",1,3.42271666666667,11,"pitcher","['juck', 'blue']","list1"
7832,"cup_metal_blue",1,3.42271666666667,12,"cup","['cup', 'blue']","list1"
8546,"table_metal_green",1,3.42271666666667,13,"table","['table', 'green']","list1"
12780,"spoon_metal_blue",1,3.42271666666667,14,"spoon","['spoon', 'blue']","list1"
0,"Jessica",2,4.10163333333333,1,"bot_check","Jessica","list1"
24016,"pitcher_plastic_blue",2,4.10163333333333,3,"pitcher","['Plastic', 'blue']","list1"
10811,"ball_plastic_blue",2,4.10163333333333,4,"ball","['Rubber', 'blue']","list1"
37013,"bowl_glass_green",2,4.10163333333333,5,"bowl","['glass', 'white with green']","list1"
8976,"pitcher_glass_green",2,4.10163333333333,6,"pitcher","['glass', 'white with green']","list1"
14703,"chair_metal_purple",2,4.10163333333333,7,"chair","['iron', 'Violet']","list1"
12741,"table_metal_green",2,4.10163333333333,8,"table","['iron', 'light green']","list1"
26066,"spoon_plastic_original",2,4.10163333333333,9,"spoon","['Plastic', 'white']","list1"
10070,"spoon_metal_blue",2,4.10163333333333,10,"spoon","['Silver', 'sky blue']","list1"
9445,"ball_rubber_original",2,4.10163333333333,11,"ball","['Rubber', 'violet']","list1"
11133,"boot_rubber_blue",2,4.10163333333333,12,"boot","['Leather', 'blue']","list1"
19094,"cup_metal_blue",2,4.10163333333333,13,"cup","['Silver', 'blue']","list1"
17360,"bottle_plastic_green",2,4.10163333333333,14,"bottle","['Plastic', 'green with blue']","list1"
0,"Sarah",3,2.17943333333333,1,"bot_check","Sarah","list1"
10720,"spoon_metal_blue",3,2.17943333333333,3,"spoon","['steel', 'silver/blue']","list1"
7684,"boot_rubber_blue",3,2.17943333333333,4,"boot","['rubber', 'blue']","list1"
6895,"ball_plastic_blue",3,2.17943333333333,5,"ball","['rubber', 'blue']","list1"
6087,"chair_metal_purple",3,2.17943333333333,6,"chair","['steel', 'purple']","list1"
12675,"bottle_plastic_green",3,2.17943333333333,7,"bottle","['plastic', 'green']","list1"
7035,"ball_rubber_original",3,2.17943333333333,8,"ball","['rubber', 'purple']","list1"
5485,"pitcher_glass_green",3,2.17943333333333,9,"pitcher","['glass', 'green']","list1"
6501,"bowl_glass_green",3,2.17943333333333,10,"bowl","['glass', 'green']","list1"
7379,"table_metal_green",3,2.17943333333333,11,"table","['steel', 'green']","list1"
5630,"spoon_plastic_original",3,2.17943333333333,12,"spoon","['plasatic', 'white']","list1"
5778,"pitcher_plastic_blue",3,2.17943333333333,13,"pitcher","['plastic', 'blue']","list1"
10619,"cup_metal_blue",3,2.17943333333333,14,"cup","['tin', 'blue']","list1"
0,"Patricia",4,1.70808333333333,1,"bot_check","Patricia","list1"
7055,"cup_metal_blue",4,1.70808333333333,3,"cup","['metal', 'blue']","list1"
7864,"table_metal_green",4,1.70808333333333,4,"table","['metal', 'green']","list1"
6679,"spoon_metal_blue",4,1.70808333333333,5,"spoon","['metal', 'blue']","list1"
6167,"chair_metal_purple",4,1.70808333333333,6,"chair","['metal', 'purple']","list1"
6047,"pitcher_plastic_blue",4,1.70808333333333,7,"pitcher","['plastic', 'blue']","list1"
5743,"boot_rubber_blue",4,1.70808333333333,8,"boot","['rubber', 'blue']","list1"
4807,"bottle_plastic_green",4,1.70808333333333,9,"bottle","['plastic', 'green']","list1"
6983,"pitcher_glass_green",4,1.70808333333333,10,"pitcher","['glass', 'green']","list1"
4279,"bowl_glass_green",4,1.70808333333333,11,"bowl","['glass', 'green']","list1"
6638,"ball_plastic_blue",4,1.70808333333333,12,"ball","['stone', 'blue']","list1"
6177,"spoon_plastic_original",4,1.70808333333333,13,"spoon","['metal', 'white']","list1"
4368,"ball_rubber_original",4,1.70808333333333,14,"ball","['rubber', 'purple']","list1"
0,"Margaret",5,0.934016666666667,1,"bot_check","margaret","list1"
4120,"cup_metal_blue",5,0.934016666666667,3,"cup","['metal', 'blue']","list1"
4952,"ball_rubber_original",5,0.934016666666667,4,"ball","['plastic', 'purple']","list1"
2880,"table_metal_green",5,0.934016666666667,5,"table","['metal', 'green']","list1"
3065,"bowl_glass_green",5,0.934016666666667,6,"bowl","['glass', 'green']","list1"
2992,"spoon_plastic_original",5,0.934016666666667,7,"spoon","['plastic', 'white']","list1"
4049,"chair_metal_purple",5,0.934016666666667,8,"chair","['plastic', 'purple']","list1"
2848,"pitcher_glass_green",5,0.934016666666667,9,"pitcher","['glass', 'green']","list1"
3120,"ball_plastic_blue",5,0.934016666666667,10,"ball","['plastic', 'blue']","list1"
2745,"boot_rubber_blue",5,0.934016666666667,11,"boot","['rubber', 'blue']","list1"
3448,"bottle_plastic_green",5,0.934016666666667,12,"bottle","['plastic', 'green']","list1"
2777,"pitcher_plastic_blue",5,0.934016666666667,13,"pitcher","['plastic', 'blue']","list1"
6440,"spoon_metal_blue",5,0.934016666666667,14,"spoon","['plastic', 'blue']","list1"
0,"Barbara",6,1.79841666666667,1,"bot_check","Barbara","list1"
8402,"spoon_metal_blue",6,1.79841666666667,3,"spoon","['Plastic', 'Blue']","list1"
7992,"table_metal_green",6,1.79841666666667,4,"table","['Metal', 'Green']","list1"
5030,"bottle_plastic_green",6,1.79841666666667,5,"bottle","['Plastic', 'Green']","list1"
5608,"boot_rubber_blue",6,1.79841666666667,6,"boot","['Leather', 'Blue']","list1"
6782,"cup_metal_blue",6,1.79841666666667,7,"cup","['Metal', 'Blue']","list1"
7118,"ball_rubber_original",6,1.79841666666667,8,"ball","['Rubber', 'Purple']","list1"
5265,"spoon_plastic_original",6,1.79841666666667,9,"spoon","['Plastic', 'White']","list1"
4362,"pitcher_plastic_blue",6,1.79841666666667,10,"pitcher","['Plastic', 'Blue']","list1"
5593,"chair_metal_purple",6,1.79841666666667,11,"chair","['Metal', 'Purple']","list1"
4260,"pitcher_glass_green",6,1.79841666666667,12,"pitcher","['Glass', 'Green']","list1"
9795,"ball_plastic_blue",6,1.79841666666667,13,"ball","['Plastic', 'Blue']","list1"
4290,"bowl_glass_green",6,1.79841666666667,14,"bowl","['Glass', 'Green']","list1"
