"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['no']",NA,"['material']","[680, 'no']","['brown']","74","['plastic']","['wood']","",25,3.77011666666667,"table_wood_original","['table']","list1"
"","['yes']",NA,"['material']","[752, 'no']","['green']","75","['denim']","['denim']","",25,3.77011666666667,"jacket_denim_green","['jacket']","list1"
"","['yes']",NA,"['color']","[864, 'yes']","['blue']","76","['blue']","['plastic']","",25,3.77011666666667,"chair_plastic_original","['chair']","list1"
"","['no']",NA,"['material']","[960, 'no']","['green']","77","['denim']","['metal']","",25,3.77011666666667,"bowl_metal_green","['bowl']","list1"
"","['yes']",NA,"['material']","[792, 'yes']","['blue']","78","['wood']","['wood']","",25,3.77011666666667,"spoon_wood_blue","['spoon']","list1"
"","['yes']",NA,"['material']","[784, 'no']","['green']","79","['plastic']","['plastic']","",25,3.77011666666667,"plate_plastic_green","['plate']","list1"
"","['yes']",NA,"['material']","[696, 'yes']","['blue']","80","['plastic']","['plastic']","",25,3.77011666666667,"spoon_plastic_blue","['spoon']","list1"
"","['yes']",NA,"['material']","[1224, 'yes']","['green']","81","['wood']","['wood']","",25,3.77011666666667,"chair_wood_green","['chair']","list1"
"","['yes']",NA,"['material']","[800, 'yes']","['silver']","82","['metal']","['metal']","",25,3.77011666666667,"table_metal_original","['table']","list1"
"","['no']",NA,"['material']","[798, 'no']","['blue']","83","['wood']","['plastic']","",25,3.77011666666667,"bag_plastic_blue","['bag']","list1"
"","['yes']",NA,"['material']","[992, 'yes']","['white']","84","['paper']","['paper']","",25,3.77011666666667,"plate_paper_original","['plate']","list1"
"","['yes']",NA,"['color']","[1008, 'yes']","['blue']","85","['blue']","['metal']","",25,3.77011666666667,"pitcher_metal_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[903, 'yes']","['pink']","86","['plastic']","['plastic']","",25,3.77011666666667,"plate_plastic_pink","['plate']","list1"
"","['no']",NA,"['material']","[801, 'no']","['blue']","87","['leather']","['wood']","",25,3.77011666666667,"table_wood_blue","['table']","list1"
"","['no']",NA,"['material']","[782, 'yes']","['green']","88","['denim']","['leather']","",25,3.77011666666667,"jacket_leather_green","['jacket']","list1"
"","['no']",NA,"['color']","[1079, 'no']","['black']","89","['red']","['leather']","",25,3.77011666666667,"boot_leather_original","['boot']","list1"
"","['yes']",NA,"['color']","[671, 'yes']","['blue']","90","['blue']","['wood']","",25,3.77011666666667,"box_wood_blue","['box']","list1"
"bot_check","",0,"","Linda","","bot_check","","","Linda",26,4.93558333333333,"","","list1"
"","['no']",NA,"['material']","[1681, 'no']","['silver']","practice_trial","['glass']","['metal']","",26,4.93558333333333,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","[1759, 'yes']","['yellow']","practice_trial","['yellow']","['wood']","",26,4.93558333333333,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","[1078, 'no']","['blue']","practice_trial","['red']","['metal']","",26,4.93558333333333,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","[1222, 'yes']","['red']","practice_trial","['plastic']","['plastic']","",26,4.93558333333333,"ball_plastic_red","['ball']","list1"
"","['yes']",NA,"['material']","[1080, 'yes']","['green']","10","['denim']","['denim']","",26,4.93558333333333,"jacket_denim_green","['jacket']","list1"
"","['yes']",NA,"['material']","[1087, 'yes']","['green']","11","['plastic']","['plastic']","",26,4.93558333333333,"plate_plastic_green","['plate']","list1"
"","['yes']",NA,"['material']","[1154, 'yes']","['brown']","12","['paper']","['paper']","",26,4.93558333333333,"bag_paper_original","['bag']","list1"
"","['no']",NA,"['material']","[1051, 'no']","['green']","13","['denim']","['leather']","",26,4.93558333333333,"jacket_leather_green","['jacket']","list1"
"","['yes']",NA,"['color']","[1203, 'yes']","['green']","14","['green']","['wood']","",26,4.93558333333333,"spoon_wood_green","['spoon']","list1"
"","['no']",NA,"['material']","[1021, 'no']","['blue']","15","['plastic']","['glass']","",26,4.93558333333333,"pitcher_glass_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[1168, 'yes']","['pink']","16","['plastic']","['plastic']","",26,4.93558333333333,"plate_plastic_pink","['plate']","list1"
"","['yes']",NA,"['material']","['Late', 'yes']","['green']","17","['metal']","['metal']","",26,4.93558333333333,"pitcher_metal_green","['pitcher']","list1"
"","['yes']",NA,"['material']","[1091, 'yes']","['green']","18","['wood']","['wood']","",26,4.93558333333333,"chair_wood_green","['chair']","list1"
"","['yes']",NA,"['material']","[1811, 'yes']","['green']","19","['metal']","['metal']","",26,4.93558333333333,"spoon_metal_green","['spoon']","list1"
"","['yes']",NA,"['color']","['Late', 'yes']","['blue']","20","['blue']","['wood']","",26,4.93558333333333,"box_wood_blue","['box']","list1"
"","['yes']",NA,"['material']","[1276, 'yes']","['green']","21","['rubber']","['rubber']","",26,4.93558333333333,"boot_rubber_green","['boot']","list1"
"","['no']",NA,"['material']","[978, 'no']","['green']","22","['denim']","['metal']","",26,4.93558333333333,"bowl_metal_green","['bowl']","list1"
"","['yes']",NA,"['color']","[908, 'yes']","['silver']","23","['silver']","['metal']","",26,4.93558333333333,"bowl_metal_original","['bowl']","list1"
"","['no']",NA,"['material']","[1877, 'no']","['brown']","24","['cardboard']","['wood']","",26,4.93558333333333,"chair_wood_original","['chair']","list1"
"","['no']",NA,"['color']","[1776, 'no']","['blue']","25","['silver']","['glass']","",26,4.93558333333333,"bottle_glass_blue","['bottle']","list1"
"","['no']",NA,"['material']","[1236, 'no']","['silver']","26","['leather']","['metal']","",26,4.93558333333333,"pitcher_metal_original","['pitcher']","list1"
"","['no']",NA,"['color']","[1351, 'no']","['blue']","27","['green']","['plastic']","",26,4.93558333333333,"pitcher_plastic_blue","['pitcher']","list1"
"","['yes']",NA,"['color']","[981, 'yes']","['green']","28","['green']","['plastic']","",26,4.93558333333333,"cup_plastic_green","['cup']","list1"
"","['no']",NA,"['material']","[1053, 'no']","['blue']","29","['paper']","['metal']","",26,4.93558333333333,"spoon_metal_blue","['spoon']","list1"
"","['no']",NA,"['material']","[1219, 'no']","['clear']","30","['cardboard']","['glass']","",26,4.93558333333333,"bowl_glass_original","['bowl']","list1"
"","['no']",NA,"['color']","[1048, 'no']","['green']","31","['brown']","['wood']","",26,4.93558333333333,"box_wood_green","['box']","list1"
"","['no']",NA,"['color']","[1100, 'no']","['green']","32","['pink']","['plastic']","",26,4.93558333333333,"spoon_plastic_green","['spoon']","list1"
"","['yes']",NA,"['color']","[868, 'yes']","['green']","33","['green']","['glass']","",26,4.93558333333333,"bottle_glass_green","['bottle']","list1"
"","['no']",NA,"['color']","[903, 'no']","['purple']","34","['red']","['plastic']","",26,4.93558333333333,"chair_plastic_purple","['chair']","list1"
"","['yes']",NA,"['color']","[1033, 'yes']","['green']","35","['green']","['metal']","",26,4.93558333333333,"table_metal_green","['table']","list1"
"","['no']",NA,"['material']","[964, 'no']","['clear']","36","['plastic']","['glass']","",26,4.93558333333333,"bottle_glass_original","['bottle']","list1"
"","['no']",NA,"['material']","[1897, 'no']","['clear']","37","['metal']","['plastic']","",26,4.93558333333333,"cup_plastic_original","['cup']","list1"
"","['yes']",NA,"['color']","[831, 'yes']","['purple']","38","['purple']","['wood']","",26,4.93558333333333,"chair_wood_purple","['chair']","list1"
"","['no']",NA,"['material']","[1421, 'no']","['green']","39","['paper']","['rubber']","",26,4.93558333333333,"boot_rubber_original","['boot']","list1"
"","['no']",NA,"['color']","[1012, 'no']","['brown']","40","['clear']","['wood']","",26,4.93558333333333,"spoon_wood_original","['spoon']","list1"
"","['no']",NA,"['material']","[979, 'no']","['blue']","41","['wood']","['plastic']","",26,4.93558333333333,"bag_plastic_blue","['bag']","list1"
"","['no']",NA,"['material']","[1294, 'yes']","['green']","42","['glass']","['paper']","",26,4.93558333333333,"plate_paper_green","['plate']","list1"
"","['yes']",NA,"['material']","[1744, 'yes']","['white']","43","['plastic']","['plastic']","",26,4.93558333333333,"pitcher_plastic_original","['pitcher']","list1"
"","['yes']",NA,"['color']","[1127, 'yes']","['green']","44","['green']","['plastic']","",26,4.93558333333333,"bottle_plastic_green","['bottle']","list1"
"","['yes']",NA,"['color']","[934, 'yes']","['blue']","45","['blue']","['metal']","",26,4.93558333333333,"pitcher_metal_blue","['pitcher']","list1"
"","['no']",NA,"['material']","[1132, 'yes']","['brown']","46","['rubber']","['leather']","",26,4.93558333333333,"boot_leather_brown","['boot']","list1"
"","['no']",NA,"['color']","[1731, 'no']","['green']","47","['blue']","['wood']","",26,4.93558333333333,"table_wood_green","['table']","list1"
"","['yes']",NA,"['color']","[996, 'yes']","['brown']","48","['brown']","['rubber']","",26,4.93558333333333,"boot_rubber_brown","['boot']","list1"
"","['yes']",NA,"['color']","[929, 'yes']","['silver']","49","['silver']","['metal']","",26,4.93558333333333,"spoon_metal_original","['spoon']","list1"
"","['no']",NA,"['color']","[1176, 'no']","['purple']","50","['silver']","['metal']","",26,4.93558333333333,"chair_metal_purple","['chair']","list1"
"","['yes']",NA,"['material']","[1026, 'yes']","['white']","51","['paper']","['paper']","",26,4.93558333333333,"plate_paper_original","['plate']","list1"
"","['yes']",NA,"['color']","[1161, 'yes']","['purple']","52","['purple']","['denim']","",26,4.93558333333333,"jacket_denim_purple","['jacket']","list1"
"","['no']",NA,"['material']","[1064, 'no']","['brown']","53","['plastic']","['wood']","",26,4.93558333333333,"box_wood_original","['box']","list1"
"","['no']",NA,"['material']","[1031, 'no']","['blue']","54","['leather']","['metal']","",26,4.93558333333333,"table_metal_blue","['table']","list1"
"","['no']",NA,"['material']","[1025, 'no']","['brown']","55","['plastic']","['wood']","",26,4.93558333333333,"table_wood_original","['table']","list1"
"","['no']",NA,"['material']","[975, 'no']","['brown']","56","['leather']","['cardboard']","",26,4.93558333333333,"box_cardboard_original","['box']","list1"
"","['yes']",NA,"['material']","[1173, 'yes']","['green']","57","['metal']","['metal']","",26,4.93558333333333,"chair_metal_green","['chair']","list1"
"","['no']",NA,"['color']","[889, 'no']","['clear']","58","['green']","['plastic']","",26,4.93558333333333,"bottle_plastic_original","['bottle']","list1"
"","['yes']",NA,"['color']","[818, 'yes']","['purple']","59","['purple']","['leather']","",26,4.93558333333333,"jacket_leather_purple","['jacket']","list1"
"","['yes']",NA,"['material']","[790, 'yes']","['green']","60","['glass']","['glass']","",26,4.93558333333333,"pitcher_glass_green","['pitcher']","list1"
"","['no']",NA,"['color']","[878, 'no']","['blue']","61","['clear']","['plastic']","",26,4.93558333333333,"plate_plastic_original","['plate']","list1"
"","['yes']",NA,"['material']","[1080, 'yes']","['blue']","62","['cardboard']","['cardboard']","",26,4.93558333333333,"box_cardboard_blue","['box']","list1"
"","['no']",NA,"['color']","[894, 'no']","['green']","63","['purple']","['paper']","",26,4.93558333333333,"bag_paper_green","['bag']","list1"
"","['no']",NA,"['color']","[880, 'no']","['blue']","64","['silver']","['plastic']","",26,4.93558333333333,"cup_plastic_blue","['cup']","list1"
"","['no']",NA,"['material']","[901, 'no']","['white']","65","['denim']","['plastic']","",26,4.93558333333333,"spoon_plastic_original","['spoon']","list1"
"","['yes']",NA,"['material']","[981, 'no']","['silver']","66","['metal']","['metal']","",26,4.93558333333333,"cup_metal_original","['cup']","list1"
"","['no']",NA,"['color']","[1093, 'no']","['white']","67","['brown']","['plastic']","",26,4.93558333333333,"bag_plastic_original","['bag']","list1"
"","['no']",NA,"['color']","[846, 'no']","['black']","68","['clear']","['leather']","",26,4.93558333333333,"jacket_leather_original","['jacket']","list1"
"","['yes']",NA,"['material']","[710, 'yes']","['blue']","69","['plastic']","['plastic']","",26,4.93558333333333,"spoon_plastic_blue","['spoon']","list1"
"","['yes']",NA,"['color']","[1113, 'yes']","['blue']","70","['blue']","['paper']","",26,4.93558333333333,"bag_paper_blue","['bag']","list1"
"","['no']",NA,"['color']","[909, 'no']","['black']","71","['red']","['leather']","",26,4.93558333333333,"boot_leather_original","['boot']","list1"
"","['yes']",NA,"['color']","[776, 'yes']","['blue']","72","['blue']","['metal']","",26,4.93558333333333,"cup_metal_blue","['cup']","list1"
"","['no']",NA,"['color']","[783, 'no']","['blue']","73","['clear']","['paper']","",26,4.93558333333333,"plate_paper_blue","['plate']","list1"
"","['no']",NA,"['color']","[742, 'yes']","['clear']","74","['black']","['glass']","",26,4.93558333333333,"pitcher_glass_original","['pitcher']","list1"
"","['yes']",NA,"['color']","[1281, 'yes']","['blue']","75","['blue']","['plastic']","",26,4.93558333333333,"chair_plastic_original","['chair']","list1"
"","['no']",NA,"['color']","[845, 'no']","['blue']","76","['clear']","['denim']","",26,4.93558333333333,"jacket_denim_original","['jacket']","list1"
"","['yes']",NA,"['color']","[796, 'yes']","['green']","77","['green']","['plastic']","",26,4.93558333333333,"pitcher_plastic_green","['pitcher']","list1"
"","['yes']",NA,"['material']","[993, 'yes']","['silver']","78","['metal']","['metal']","",26,4.93558333333333,"table_metal_original","['table']","list1"
"","['yes']",NA,"['material']","[807, 'yes']","['blue']","79","['wood']","['wood']","",26,4.93558333333333,"spoon_wood_blue","['spoon']","list1"
"","['no']",NA,"['material']","[742, 'yes']","['green']","80","['leather']","['metal']","",26,4.93558333333333,"cup_metal_green","['cup']","list1"
"","['yes']",NA,"['material']","[1195, 'yes']","['blue']","81","['plastic']","['plastic']","",26,4.93558333333333,"bottle_plastic_blue","['bottle']","list1"
"","['yes']",NA,"['material']","[1018, 'yes']","['green']","82","['leather']","['leather']","",26,4.93558333333333,"boot_leather_green","['boot']","list1"
"","['no']",NA,"['color']","[1067, 'yes']","['blue']","83","['purple']","['metal']","",26,4.93558333333333,"bowl_metal_blue","['bowl']","list1"
"","['no']",NA,"['color']","[827, 'no']","['green']","84","['red']","['cardboard']","",26,4.93558333333333,"box_cardboard_green","['box']","list1"
"","['no']",NA,"['material']","[1023, 'no']","['green']","85","['wood']","['plastic']","",26,4.93558333333333,"chair_plastic_green","['chair']","list1"
"","['yes']",NA,"['color']","[1277, 'yes']","['green']","86","['green']","['plastic']","",26,4.93558333333333,"bag_plastic_green","['bag']","list1"
"","['no']",NA,"['material']","[884, 'no']","['blue']","87","['leather']","['wood']","",26,4.93558333333333,"table_wood_blue","['table']","list1"
"","['yes']",NA,"['color']","[790, 'yes']","['green']","88","['green']","['glass']","",26,4.93558333333333,"bowl_glass_green","['bowl']","list1"
"","['yes']",NA,"['material']","[827, 'yes']","['blue']","89","['glass']","['glass']","",26,4.93558333333333,"bowl_glass_blue","['bowl']","list1"
"","['yes']",NA,"['color']","[1035, 'yes']","['silver']","90","['silver']","['metal']","",26,4.93558333333333,"chair_metal_original","['chair']","list1"
"bot_check","",0,"","Barbara","","bot_check","","","Barbara",27,4.60078333333333,"","","list1"
"","['no']",NA,"['material']","[1224, 'no']","['silver']","practice_trial","['glass']","['metal']","",27,4.60078333333333,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","[911, 'yes']","['yellow']","practice_trial","['yellow']","['wood']","",27,4.60078333333333,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","[1154, 'no']","['blue']","practice_trial","['red']","['metal']","",27,4.60078333333333,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","[993, 'no']","['red']","practice_trial","['plastic']","['plastic']","",27,4.60078333333333,"ball_plastic_red","['ball']","list1"
"","['yes']",NA,"['material']","[1462, 'yes']","['green']","10","['metal']","['metal']","",27,4.60078333333333,"chair_metal_green","['chair']","list1"
"","['no']",NA,"['material']","[1041, 'no']","['silver']","11","['leather']","['metal']","",27,4.60078333333333,"pitcher_metal_original","['pitcher']","list1"
"","['no']",NA,"['color']","[1144, 'no']","['blue']","12","['clear']","['denim']","",27,4.60078333333333,"jacket_denim_original","['jacket']","list1"
"","['no']",NA,"['color']","[1223, 'no']","['green']","13","['red']","['cardboard']","",27,4.60078333333333,"box_cardboard_green","['box']","list1"
"","['yes']",NA,"['material']","[1120, 'yes']","['green']","14","['glass']","['glass']","",27,4.60078333333333,"pitcher_glass_green","['pitcher']","list1"
"","['no']",NA,"['color']","[1008, 'no']","['green']","15","['blue']","['wood']","",27,4.60078333333333,"table_wood_green","['table']","list1"
"","['yes']",NA,"['material']","[1273, 'yes']","['silver']","16","['metal']","['metal']","",27,4.60078333333333,"cup_metal_original","['cup']","list1"
"","['no']",NA,"['material']","[1066, 'yes']","['blue']","17","['leather']","['metal']","",27,4.60078333333333,"table_metal_blue","['table']","list1"
"","['no']",NA,"['material']","[1329, 'no']","['brown']","18","['rubber']","['leather']","",27,4.60078333333333,"boot_leather_brown","['boot']","list1"
"","['no']",NA,"['color']","[895, 'no']","['blue']","19","['clear']","['plastic']","",27,4.60078333333333,"plate_plastic_original","['plate']","list1"
"","['no']",NA,"['color']","[954, 'no']","['blue']","20","['silver']","['plastic']","",27,4.60078333333333,"cup_plastic_blue","['cup']","list1"
"","['yes']",NA,"['color']","[1134, 'yes']","['purple']","21","['purple']","['leather']","",27,4.60078333333333,"jacket_leather_purple","['jacket']","list1"
"","['yes']",NA,"['material']","[1148, 'yes']","['blue']","22","['wood']","['wood']","",27,4.60078333333333,"spoon_wood_blue","['spoon']","list1"
"","['yes']",NA,"['material']","[1244, 'yes']","['green']","23","['denim']","['denim']","",27,4.60078333333333,"jacket_denim_green","['jacket']","list1"
"","['no']",NA,"['material']","[1051, 'no']","['green']","24","['denim']","['metal']","",27,4.60078333333333,"bowl_metal_green","['bowl']","list1"
"","['yes']",NA,"['color']","[1069, 'yes']","['green']","25","['green']","['glass']","",27,4.60078333333333,"bottle_glass_green","['bottle']","list1"
"","['yes']",NA,"['color']","[1217, 'yes']","['green']","26","['green']","['metal']","",27,4.60078333333333,"table_metal_green","['table']","list1"
"","['yes']",NA,"['color']","[1537, 'yes']","['green']","27","['green']","['plastic']","",27,4.60078333333333,"pitcher_plastic_green","['pitcher']","list1"
"","['yes']",NA,"['material']","[1484, 'yes']","['green']","28","['metal']","['metal']","",27,4.60078333333333,"spoon_metal_green","['spoon']","list1"
"","['yes']",NA,"['material']","[1051, 'yes']","['green']","29","['wood']","['wood']","",27,4.60078333333333,"chair_wood_green","['chair']","list1"
"","['yes']",NA,"['material']","[1201, 'yes']","['blue']","30","['plastic']","['plastic']","",27,4.60078333333333,"bottle_plastic_blue","['bottle']","list1"
"","['no']",NA,"['color']","[1500, 'no']","['blue']","31","['silver']","['glass']","",27,4.60078333333333,"bottle_glass_blue","['bottle']","list1"
"","['yes']",NA,"['material']","[1308, 'yes']","['white']","32","['plastic']","['plastic']","",27,4.60078333333333,"pitcher_plastic_original","['pitcher']","list1"
"","['no']",NA,"['color']","[1075, 'no']","['green']","33","['brown']","['wood']","",27,4.60078333333333,"box_wood_green","['box']","list1"
"","['no']",NA,"['material']","[1398, 'no']","['brown']","34","['cardboard']","['wood']","",27,4.60078333333333,"chair_wood_original","['chair']","list1"
"","['no']",NA,"['color']","[1397, 'no']","['green']","35","['purple']","['paper']","",27,4.60078333333333,"bag_paper_green","['bag']","list1"
"","['yes']",NA,"['material']","[1151, 'yes']","['silver']","36","['metal']","['metal']","",27,4.60078333333333,"table_metal_original","['table']","list1"
"","['yes']",NA,"['material']","[957, 'yes']","['green']","37","['rubber']","['rubber']","",27,4.60078333333333,"boot_rubber_green","['boot']","list1"
"","['yes']",NA,"['color']","[1107, 'yes']","['blue']","38","['blue']","['plastic']","",27,4.60078333333333,"chair_plastic_original","['chair']","list1"
"","['yes']",NA,"['material']","[1141, 'yes']","['blue']","39","['cardboard']","['cardboard']","",27,4.60078333333333,"box_cardboard_blue","['box']","list1"
"","['yes']",NA,"['color']","[1050, 'yes']","['purple']","40","['purple']","['wood']","",27,4.60078333333333,"chair_wood_purple","['chair']","list1"
"","['no']",NA,"['material']","[1007, 'no']","['white']","41","['denim']","['plastic']","",27,4.60078333333333,"spoon_plastic_original","['spoon']","list1"
"","['yes']",NA,"['color']","[908, 'yes']","['blue']","42","['blue']","['paper']","",27,4.60078333333333,"bag_paper_blue","['bag']","list1"
"","['yes']",NA,"['color']","[855, 'yes']","['silver']","43","['silver']","['metal']","",27,4.60078333333333,"spoon_metal_original","['spoon']","list1"
"","['yes']",NA,"['color']","[1111, 'yes']","['silver']","44","['silver']","['metal']","",27,4.60078333333333,"chair_metal_original","['chair']","list1"
"","['yes']",NA,"['color']","[874, 'yes']","['green']","45","['green']","['wood']","",27,4.60078333333333,"spoon_wood_green","['spoon']","list1"
"","['no']",NA,"['color']","[991, 'no']","['purple']","46","['red']","['plastic']","",27,4.60078333333333,"chair_plastic_purple","['chair']","list1"
"","['yes']",NA,"['color']","[1279, 'yes']","['blue']","47","['blue']","['metal']","",27,4.60078333333333,"pitcher_metal_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[1040, 'yes']","['green']","48","['leather']","['leather']","",27,4.60078333333333,"boot_leather_green","['boot']","list1"
"","['no']",NA,"['material']","[1248, 'no']","['blue']","49","['wood']","['plastic']","",27,4.60078333333333,"bag_plastic_blue","['bag']","list1"
"","['yes']",NA,"['color']","[987, 'yes']","['silver']","50","['silver']","['metal']","",27,4.60078333333333,"bowl_metal_original","['bowl']","list1"
"","['no']",NA,"['color']","[991, 'no']","['brown']","51","['clear']","['wood']","",27,4.60078333333333,"spoon_wood_original","['spoon']","list1"
"","['no']",NA,"['color']","[1063, 'no']","['black']","52","['clear']","['leather']","",27,4.60078333333333,"jacket_leather_original","['jacket']","list1"
"","['no']",NA,"['color']","[1166, 'no']","['white']","53","['brown']","['plastic']","",27,4.60078333333333,"bag_plastic_original","['bag']","list1"
"","['no']",NA,"['material']","[1194, 'no']","['brown']","54","['plastic']","['wood']","",27,4.60078333333333,"table_wood_original","['table']","list1"
"","['no']",NA,"['color']","[1014, 'no']","['blue']","55","['green']","['plastic']","",27,4.60078333333333,"pitcher_plastic_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[885, 'yes']","['blue']","56","['glass']","['glass']","",27,4.60078333333333,"bowl_glass_blue","['bowl']","list1"
"","['no']",NA,"['material']","[879, 'no']","['green']","57","['leather']","['metal']","",27,4.60078333333333,"cup_metal_green","['cup']","list1"
"","['no']",NA,"['color']","[1149, 'no']","['clear']","58","['green']","['plastic']","",27,4.60078333333333,"bottle_plastic_original","['bottle']","list1"
"","['yes']",NA,"['material']","[981, 'yes']","['pink']","59","['plastic']","['plastic']","",27,4.60078333333333,"plate_plastic_pink","['plate']","list1"
"","['no']",NA,"['material']","[1298, 'no']","['clear']","60","['plastic']","['glass']","",27,4.60078333333333,"bottle_glass_original","['bottle']","list1"
"","['yes']",NA,"['color']","[909, 'yes']","['purple']","61","['purple']","['denim']","",27,4.60078333333333,"jacket_denim_purple","['jacket']","list1"
"","['yes']",NA,"['material']","[1479, 'yes']","['white']","62","['paper']","['paper']","",27,4.60078333333333,"plate_paper_original","['plate']","list1"
"","['no']",NA,"['material']","[1253, 'no']","['green']","63","['wood']","['plastic']","",27,4.60078333333333,"chair_plastic_green","['chair']","list1"
"","['yes']",NA,"['material']","[1352, 'yes']","['blue']","64","['plastic']","['plastic']","",27,4.60078333333333,"spoon_plastic_blue","['spoon']","list1"
"","['no']",NA,"['material']","['Late', 'no']","['clear']","65","['metal']","['plastic']","",27,4.60078333333333,"cup_plastic_original","['cup']","list1"
"","['no']",NA,"['material']","[1217, 'no']","['blue']","66","['paper']","['metal']","",27,4.60078333333333,"spoon_metal_blue","['spoon']","list1"
"","['no']",NA,"['material']","[1364, 'no']","['green']","67","['paper']","['rubber']","",27,4.60078333333333,"boot_rubber_original","['boot']","list1"
"","['no']",NA,"['material']","[1552, 'no']","['green']","68","['denim']","['leather']","",27,4.60078333333333,"jacket_leather_green","['jacket']","list1"
"","['yes']",NA,"['material']","[815, 'yes']","['green']","69","['plastic']","['plastic']","",27,4.60078333333333,"plate_plastic_green","['plate']","list1"
"","['no']",NA,"['material']","[954, 'no']","['brown']","70","['plastic']","['wood']","",27,4.60078333333333,"box_wood_original","['box']","list1"
"","['yes']",NA,"['color']","[971, 'yes']","['green']","71","['green']","['plastic']","",27,4.60078333333333,"bottle_plastic_green","['bottle']","list1"
"","['yes']",NA,"['color']","[1024, 'yes']","['green']","72","['green']","['plastic']","",27,4.60078333333333,"cup_plastic_green","['cup']","list1"
"","['no']",NA,"['color']","[1085, 'no']","['black']","73","['red']","['leather']","",27,4.60078333333333,"boot_leather_original","['boot']","list1"
"","['no']",NA,"['material']","[1353, 'no']","['blue']","74","['plastic']","['glass']","",27,4.60078333333333,"pitcher_glass_blue","['pitcher']","list1"
"","['yes']",NA,"['material']","[1273, 'yes']","['green']","75","['metal']","['metal']","",27,4.60078333333333,"pitcher_metal_green","['pitcher']","list1"
"","['yes']",NA,"['color']","[1275, 'yes']","['blue']","76","['blue']","['metal']","",27,4.60078333333333,"cup_metal_blue","['cup']","list1"
"","['no']",NA,"['color']","[1229, 'no']","['blue']","77","['purple']","['metal']","",27,4.60078333333333,"bowl_metal_blue","['bowl']","list1"
"","['yes']",NA,"['color']","[1080, 'yes']","['brown']","78","['brown']","['rubber']","",27,4.60078333333333,"boot_rubber_brown","['boot']","list1"
"","['yes']",NA,"['color']","[1213, 'yes']","['green']","79","['green']","['plastic']","",27,4.60078333333333,"bag_plastic_green","['bag']","list1"
"","['no']",NA,"['material']","[991, 'no']","['blue']","80","['leather']","['wood']","",27,4.60078333333333,"table_wood_blue","['table']","list1"
"","['no']",NA,"['material']","[1468, 'no']","['brown']","81","['leather']","['cardboard']","",27,4.60078333333333,"box_cardboard_original","['box']","list1"
"","['yes']",NA,"['color']","[1094, 'yes']","['green']","82","['green']","['glass']","",27,4.60078333333333,"bowl_glass_green","['bowl']","list1"
"","['no']",NA,"['material']","[1113, 'no']","['clear']","83","['cardboard']","['glass']","",27,4.60078333333333,"bowl_glass_original","['bowl']","list1"
"","['no']",NA,"['color']","[1517, 'yes']","['purple']","84","['silver']","['metal']","",27,4.60078333333333,"chair_metal_purple","['chair']","list1"
"","['yes']",NA,"['color']","[1460, 'yes']","['blue']","85","['blue']","['wood']","",27,4.60078333333333,"box_wood_blue","['box']","list1"
"","['no']",NA,"['color']","[1025, 'yes']","['clear']","86","['black']","['glass']","",27,4.60078333333333,"pitcher_glass_original","['pitcher']","list1"
"","['no']",NA,"['color']","[1085, 'no']","['green']","87","['pink']","['plastic']","",27,4.60078333333333,"spoon_plastic_green","['spoon']","list1"
"","['yes']",NA,"['material']","[998, 'yes']","['brown']","88","['paper']","['paper']","",27,4.60078333333333,"bag_paper_original","['bag']","list1"
"","['no']",NA,"['color']","[975, 'no']","['blue']","89","['clear']","['paper']","",27,4.60078333333333,"plate_paper_blue","['plate']","list1"
"","['no']",NA,"['material']","[1088, 'no']","['green']","90","['glass']","['paper']","",27,4.60078333333333,"plate_paper_green","['plate']","list1"
"bot_check","",0,"","it's a beautiful day isn't it?","","bot_check","","","Jennifer",28,5.80633333333333,"","","list1"
"bot_check","",0,"","It's a beautiful day, isn't it?","","bot_check","","","Jennifer",28,5.80633333333333,"","","list1"
"bot_check","",0,"","jennifer","","bot_check","","","Jennifer",28,5.80633333333333,"","","list1"
"","['no']",NA,"['material']","['Late', '']","['silver']","practice_trial","['glass']","['metal']","",28,5.80633333333333,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","['Late', '']","['yellow']","practice_trial","['yellow']","['wood']","",28,5.80633333333333,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","['Late', '']","['blue']","practice_trial","['red']","['metal']","",28,5.80633333333333,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","['Late', 'yes']","['red']","practice_trial","['plastic']","['plastic']","",28,5.80633333333333,"ball_plastic_red","['ball']","list1"
