"totalLength","workerid","role","comments","nativeEnglish","thinksHuman","gameID","ratePartner","speaker_cond"
282889,0,"speaker","","yes","yes","0512-8","liked","batch1"
370678,1,"listener","no","yes","yes","3231-a","liked","batch1"
431055,2,"speaker","","yes","yes","9304-4","liked","batch1"
557185,3,"speaker","","no","yes","7754-6","liked","batch1"
281825,4,"speaker","i have none","yes","yes","2401-4","loved","batch1"
746262,5,"listener","its nice to do","yes","yes","0359-3","liked","batch1"
104514,6,"listener","no comments","yes","no","9484-b","loved","batch1"
750641,7,"speaker","I don't think that my partner read the instructions.  They kept requesting location numbers.  I explained to them just the like instructions said that it wouldn't help because our locations for the targeted image was different. But they didn't seem to fully understand and requested location numbers more than once.","yes","yes","3968-2","not much","batch1"
444925,8,"listener","It was pretty straightforward and simple","yes","yes","3845-b","okay","batch1"
311269,9,"speaker","","yes","yes","3260-8","liked","batch1"
321106,10,"listener","I'm only on round 18.","yes","yes","6964-b","liked","batch1"
631822,11,"listener","","yes","no","6896-c","liked","batch1"
631230,12,"listener","","yes","yes","1507-0","okay","batch1"
880134,13,"listener","lovely experiment and looking forward to more of it","yes","yes","7004-7","loved","batch1"
388379,14,"speaker","","yes","yes","2679-5","loved","batch1"
526026,15,"speaker","","yes","yes","3451-9","loved","batch1"
347845,16,"speaker","Thank you for the opportunity to participate!","yes","yes","5949-7","loved","batch1"
1290332,17,"speaker","No","yes","yes","2537-f","loved","batch1"
966642,18,"listener","fun","yes","yes","5270-b","liked","batch1"
491527,19,"listener","thanks","yes","yes","5178-c","liked","batch1"
471632,20,"speaker","","yes","yes","3954-5","loved","batch1"
531348,21,"speaker","Its really fun filled expriment","yes","yes","2808-d","loved","batch1"
360558,22,"speaker","","yes","yes","1629-c","liked","batch1"
746137,23,"speaker","","yes","yes","8573-e","liked","batch1"
511996,24,"speaker","","yes","yes","7078-d","liked","batch1"
565680,25,"listener","interesting","yes","yes","3968-2","okay","batch1"
547288,26,"listener","none","yes","yes","2537-f","loved","batch1"
378939,27,"listener","i really enjoyed","yes","yes","0856-5","loved","batch1"
276200,28,"speaker","","yes","yes","8411-d","loved","batch1"
279712,29,"listener","This was a fascinating and enjoyable experiment.","yes","yes","8411-d","loved","batch1"
240808,30,"listener","Fun Hit!!!","yes","yes","3045-2","loved","batch1"
