gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
3232-f	1592952042233	1	clickedObj		vase_wood_blue	filler_material	target	4	1	box_wood_brown_original	filler	competitor	3	3	bowl_glass_clear_original	filler	distractor	1	2	bowl_glass_clear_original	filler	distractor	2	4	1	1	0	click on the blue vase		1592952037625
3232-f	1592952089379	2	clickedObj		bowl_glass_blue	filler_both	target	3	2	door_steel_silver_original	filler	distractor	2	3	door_steel_silver_original	filler	distractor	1	1	vase_glass_blue	filler	competitor	4	4	1	1	0	click the short wide glass bowl		1592952086279
3232-f	1592952100709	3	clickedObj		ruler_wood_blue	filler_material	target	2	1	vase_glass_green	filler	distractor	1	2	box_wood_brown_original	filler	competitor	4	3	vase_glass_green	filler	distractor	3	4	1	1	0	click the ruler		1592952097575
3232-f	1592952113445	4	clickedObj		spoon_wood_green	high_difficulty	target	1	4	spoon_plastic_blue	difficulty_distractor	distractor	3	3	spoon_plastic_blue	difficulty_distractor	distractor	2	2	spoon_wood_blue	difficulty_distractor	distractor	4	1	1	1	0	green spoon		1592952111563
3232-f	1592952128022	5	clickedObj		box_wood_blue	filler_color	target	3	2	bag_paper_blue	filler	competitor	4	4	door_steel_yellow	filler	distractor	1	1	door_steel_yellow	filler	distractor	2	3	1	1	0	blue box		1592952124175
3232-f	1592952135092	6	clickedObj		door_steel_red	filler_none	target	2	1	box_cardboard_blue	filler	distractor	1	2	vase_glass_clear_original	filler	competitor	4	3	box_cardboard_blue	filler	distractor	3	4	1	1	0	red door		1592952132100
3232-f	1592952147292	7	clickedObj		table_metal_blue	high_difficulty	target	2	4	table_wood_green	difficulty_distractor	distractor	3	2	table_metal_green	difficulty_distractor	distractor	4	1	table_wood_green	difficulty_distractor	distractor	1	3	1	1	0	blue table		1592952139509
3232-f	1592952153890	8	clickedObj		door_wood_brown_original	filler_color	target	4	4	bag_paper_brown_original	filler	competitor	2	2	vase_glass_blue	filler	distractor	1	1	vase_glass_blue	filler	distractor	3	3	1	1	0	wooden door		1592952152257
3232-f	1592952165041	9	clickedObj		table_metal_silver_original	high_difficulty	target	4	2	table_wood_blue	difficulty_distractor	distractor	1	4	table_wood_blue	difficulty_distractor	distractor	2	1	table_metal_blue	difficulty_distractor	distractor	3	3	1	1	0	white table		1592952160759
3232-f	1592952172898	10	clickedObj		bag_plastic_blue	filler_color	target	3	3	ruler_wood_green	filler	distractor	4	1	ruler_wood_green	filler	distractor	1	4	box_cardboard_blue	filler	competitor	2	2	1	1	0	plastic bag		1592952170021
3232-f	1592952179682	11	clickedObj		table_metal_green	high_difficulty	target	1	4	table_wood_blue	difficulty_distractor	distractor	4	1	table_metal_blue	difficulty_distractor	distractor	2	3	table_wood_blue	difficulty_distractor	distractor	3	2	1	1	0	green long table		1592952177016
3232-f	1592952191695	12	clickedObj		ball_metal_silver_original	filler_both	target	4	2	bowl_metal_silver_original	filler	competitor	1	3	door_wood_red	filler	distractor	2	1	door_wood_red	filler	distractor	3	4	1	1	0	round metal ball		1592952189052
3232-f	1592952197039	13	clickedObj		bowl_metal_blue	filler_both	target	1	1	door_steel_silver_original	filler	distractor	3	3	ruler_metal_blue	filler	competitor	4	4	door_steel_silver_original	filler	distractor	2	2	1	1	0	bowl		1592952195635
3232-f	1592952202607	14	clickedObj		boot_leather_green	high_difficulty	target	3	1	boot_leather_black_original	difficulty_distractor	distractor	4	4	boot_rubber_black_original	difficulty_distractor	distractor	2	2	boot_rubber_black_original	difficulty_distractor	distractor	1	3	1	1	0	green shoe		1592952201310
