"","trialType","targetName","competitorName","notcompetitorName","n"
"1","high_difficulty","boot_leather_green","boot_leather_black_original","boot_rubber_black_original",30
"2","high_difficulty","boot_leather_green","boot_leather_brown","boot_rubber_brown",18
"3","high_difficulty","chair_metal_green","chair_metal_purple","chair_plastic_purple",21
"4","high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple",29
"5","high_difficulty","chair_metal_purple","chair_metal_green","chair_plastic_green",22
"6","high_difficulty","chair_metal_purple","chair_metal_green","chair_wood_green",27
"7","high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green",49
"8","high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_metal_blue",24
"9","high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue",23
"10","high_difficulty","table_metal_blue","table_metal_green","table_wood_green",49
"11","high_difficulty","table_metal_green","table_metal_blue","table_wood_blue",47
"12","high_difficulty","table_metal_silver_original","table_metal_blue","table_wood_blue",25
"13","high_difficulty","table_metal_silver_original","table_metal_green","table_wood_green",24
"14","low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_blue",25
"15","low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original",26
"16","low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_blue",22
"17","low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original",25
"18","low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_blue",26
"19","low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_silver_original",21
"20","low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original",23
"21","low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_green",24
"22","low_difficulty","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_clear_original",13
"23","low_difficulty","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_green",10
"24","low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_green",7
"25","low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original",18
"26","low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green",25
"27","low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink",23
"28","low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green",29
"29","low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original",21
"30","low_difficulty","table_metal_blue","table_wood_blue","table_wood_brown_original",25
"31","low_difficulty","table_metal_blue","table_wood_blue","table_wood_green",23
